Conc,Temp
0.28644,396.3
0.2287,398.51
0.20697,397.47
0.21209,395.64
0.22424,393.34
0.24202,391.56
0.26022,390.95
0.2687,391.01
0.27206,392
0.2639,393.06
0.25363,393.77
0.24651,394.21
0.24267,394.73
0.23711,394.6
0.23676,393.94
0.2416,393.2
0.24749,392.48
0.25536,392.43
0.25659,392.48
0.29841,392.89
0.29277,390.84
0.31062,389.74
0.32816,390.49
0.32433,392.18
0.308,394.92
0.27797,397.16
0.25494,397.99
0.24678,397.2
0.25295,395.66
0.26564,393.65
0.28438,392.41
0.30015,392.84
0.29672,393.14
0.29454,394.05
0.28606,395.49
0.27121,396.55
0.26044,396.34
0.26155,396
0.26423,394.78
0.27528,394.05
0.28297,393.67
0.28731,393.59
0.28896,393.99
0.28567,394.67
0.27917,395.7
0.26854,395.27
0.27169,395.02
0.27372,394.28
0.28137,394.32
0.28138,394.31
0.28129,394.1
0.28365,394.37
0.28138,394.69
0.2775,394.05
0.28417,394.48
0.28101,395.51
0.27034,395.04
0.27411,395.03
0.27394,394.45
0.27981,394.53
0.27914,394.29
0.28114,393.94
0.28589,394.73
0.27784,394.6
0.27906,395.15
0.27369,395.17
0.27296,395
0.27458,394.91
0.27522,394.55
0.27875,394.45
0.27994,394.36
0.28102,394.47
0.28009,394.62
0.27853,394.61
0.27865,394.7
0.27759,394.5
0.27994,394.96
0.27546,394.99
0.27487,394.97
0.27438,394.23
0.28251,394.79
0.2769,394.44
0.28017,394.6
0.27899,394.87
0.27582,394.44
0.28003,394.48
0.27987,394.58
0.27914,394.82
0.27693,395.18
0.27302,394.83
0.27603,394.7
0.27752,394.63
0.27823,394.55
0.27887,394.38
0.2811,394.8
0.27674,394.44
0.28024,394.66
0.2782,394.72
0.27767,394.94
0.27543,394.84
0.27614,394.78
0.27651,394.46
0.27987,394.52
0.27953,394.61
0.27799,393.97
0.285,394.41
0.28097,394.61
0.27857,394.52
0.27995,395.08
0.27451,395.32
0.27154,394.91
0.27527,394.83
0.27583,394.27
0.28012,393.18
0.29246,393.56
0.28871,393.25
0.29251,393.8
0.28766,394.45
0.28101,395.01
0.23885,395.81
0.23111,398.09
0.21034,398.89
0.20265,397.35
0.21192,394.96
0.2292,392.89
0.24544,391.06
0.26327,390.23
0.27644,390.74
0.27392,391.43
0.26928,392.6
0.25814,393.47
0.25053,394.55
0.23927,394.53
0.23858,394.48
0.23776,393.79
0.24396,393.54
0.24569,393.06
0.24913,392.44
0.25674,392.72
0.25499,392.99
0.25258,393.26
0.24946,393.19
0.25009,393.24
0.25037,393.57
0.24704,393.57
0.24695,393.64
0.2458,393.42
0.24727,393.16
0.25058,393.35
0.24868,393.31
0.24848,393.1
0.24947,392.64
0.25395,392.51
0.25683,392.91
0.25315,393.06
0.25023,392.64
0.25599,393.22
0.2504,393.31
0.2492,393.37
0.28707,392.72
0.2925,390.67
0.31379,390.11
0.3228,390.25
0.32816,392.52
0.30418,394.94
0.27765,397.49
0.25196,398.11
0.2454,397.86
0.24736,395.75
0.26475,394.02
0.2815,392.96
0.29308,392.56
0.29846,392.62
0.29952,393.42
0.29182,394.24
0.28364,395.22
0.27358,395.92
0.26633,396.25
0.26273,395.69
0.23083,394.73
0.23957,396.13
0.2271,397.26
0.21584,396.21
0.22239,394.96
0.23049,393.06
0.24731,392.19
0.25491,391.28
0.26711,391.71
0.26389,392.01
0.26229,392.67
0.25643,393.22
0.25168,393.88
0.24485,393.96
0.24305,393.73
0.24633,394.2
0.23982,393.14
0.25008,393.24
0.24922,393.08
0.24983,392.67
0.29486,392.55
0.29548,390.82
0.31085,389.65
0.32676,389.77
0.3334,392.03
0.30991,394.68
0.28058,397.36
0.25265,399
0.23841,397.74
0.24783,396.11
0.26172,394.17
0.27972,393
0.29093,391.7
0.30721,392.14
0.30491,393.05
0.29634,394.31
0.28322,395.31
0.27289,396.46
0.26132,396.24
0.26254,395.96
0.26486,395.1
0.272,393.82
0.28506,393.62
0.28699,392.82
0.29688,393.56
0.29014,394.16
0.28432,395.15
0.27449,396.19
0.26379,395.56
0.26926,395.83
0.26658,395.21
0.27171,394.51
0.2784,393.91
0.28448,393.56
0.28856,393.58
0.28921,394
0.28534,394.45
0.28119,395.32
0.27241,395.67
0.26822,395.04
0.23732,395.52
0.23318,397.31
0.21679,398.13
0.20865,396.92
0.21601,395.06
0.22846,392.77
0.24894,391.8
0.25806,390.92
0.26808,390.8
0.27463,392.01
0.26304,392.69
0.25698,393.54
0.24881,394.09
0.24269,394.01
0.24288,393.91
0.24274,393.4
0.24748,393.22
0.24811,392.62
0.25507,392.83
0.25327,392.82
0.29358,392.7
0.29371,390.77
0.31119,389.62
0.32822,390.09
0.32862,391.81
0.31208,394.44
0.2832,397.13
0.25548,398.09
0.24582,397.64
0.24918,395.9
0.26389,394.35
0.27863,393.33
0.28878,392.46
0.29902,392.48
0.301,393.3
0.29388,394.83
0.27804,395.9
0.26687,396.46
0.26093,396.42
0.26077,395.65
0.26726,394.59
0.27701,393.76
0.28601,393.57
0.28891,393.8
0.28676,393.9
0.28555,393.92
0.28722,395.49
0.27115,395.29
0.27206,395.47
0.27018,395.32
0.27114,394.83
0.27633,395.06
0.27422,395.03
0.27429,394.88
0.27554,394.59
0.2783,394.32
0.28146,394.59
0.27899,394.69
0.2776,394.39
0.28018,394.13
0.24626,395.2
0.23606,396.91
0.22017,397.66
0.2126,396.91
0.2166,395.24
0.22745,393.02
0.24419,391.15
0.26249,390.32
0.27642,391
0.2726,391.98
0.26259,392.42
0.26071,393.85
0.24698,394.68
0.23816,394.75
0.23682,394.73
0.2358,394.07
0.24058,393.34
0.24709,392.9
0.25098,392.45
0.25777,393.09
0.2499,392.41
0.2574,392.8
0.2552,393.43
0.24881,393.59
0.24652,393.46
0.24679,393.08
0.25084,393.12
0.25079,393.2
0.2495,393
0.25175,393.1
0.25107,393.19
0.24844,392.5
0.25655,392.9
0.2537,393.26
0.24953,393.18
0.25058,393.38
0.24843,393.34
0.24881,393.36
0.24917,393.59
0.24517,392.86
0.25321,393.16
0.25026,393.07
0.25251,393.67
0.24569,393.32
0.24675,392.51
0.25798,393.44
0.24881,393.52
0.24736,393.52
0.24796,393.85
0.24402,393.52
0.24663,393.35
0.24921,393.62
0.24619,393.46
0.24739,393.38
0.2476,393.05
0.25105,393.06
0.24924,392.29
0.25809,392.61
0.25462,392.37
0.25893,393.09
0.25188,393.28
0.24993,393.47
0.24703,393.13
0.25187,393.76
0.24512,393.5
0.24738,393.57
0.24702,393.64
0.24593,393.49
0.24738,393.49
0.24672,393.15
0.25019,393.16
0.25017,393.14
0.25101,393.36
0.25005,393.92
0.24368,393.62
0.24586,393.48
0.24633,392.99
0.25153,393.06
0.25073,392.87
0.25265,392.9
0.29274,392.75
0.29338,390.92
0.31107,390.15
0.32302,390.54
0.32253,391.82
0.31198,394.54
0.28213,396.49
0.26138,397.58
0.25076,396.92
0.25574,395.91
0.26404,394.05
0.28062,392.67
0.29693,392.87
0.29625,393.14
0.29419,393.83
0.28734,394.41
0.28114,394.7
0.27866,395.62
0.26926,395.44
0.27052,395.56
0.23311,395.32
0.23494,397.09
0.21862,397.8
0.21097,396.22
0.222,394.95
0.23085,393.2
0.24633,392.33
0.25281,391.08
0.269,391.63
0.26355,391.53
0.26898,393.07
0.25381,393.72
0.24704,394.19
0.24263,394.6
0.23781,394.3
0.23927,393.7
0.24373,393.04
0.25042,392.91
0.25174,392.68
0.25428,392.71
0.25515,393.11
0.25077,393.01
0.2515,392.99
0.25141,392.88
0.25414,393.47
0.24718,393.02
0.25083,392.87
0.25371,393.27
0.2508,393.8
0.24467,393.49
0.24543,392.7
0.2554,393.33
0.24913,393.23
0.24963,393.21
0.24957,393.11
0.24973,392.75
0.25367,392.8
0.25377,392.95
0.25211,392.92
0.25259,393.01
0.25158,393.01
0.25178,393.08
0.25249,393.7
0.24525,393.25
0.24989,393.52
0.24644,393.07
0.25134,393.3
0.24837,392.91
0.25192,392.84
0.25339,393.01
0.25343,393.73
0.24515,393.31
0.24934,393.56
0.2454,392.81
0.25327,392.98
0.25137,392.75
0.25364,392.76
0.25341,392.65
0.25384,392.37
0.25745,392.61
0.25506,392.57
0.25675,393.13
0.25201,393.57
0.24754,393.74
0.2455,393.73
0.24477,393.4
0.24749,393.18
0.2505,393.4
0.24777,393.14
0.25004,393.04
0.25262,393.6
0.24591,393.07
0.25086,393.12
0.25164,393.55
0.24719,393.51
0.24604,392.96
0.25286,393.43
0.24848,393.48
0.24766,393.51
0.24652,393.16
0.25036,393.29
0.24943,393.36
0.24883,393.42
0.24682,392.85
0.25329,393.15
0.2511,393.38
0.24752,392.9
0.25354,393.43
0.24819,393.32
0.2487,393.24
0.24909,393.06
0.25063,392.9
0.25259,392.98
0.25103,392.64
0.25457,392.69
0.25591,393.28
0.24938,393.12
0.25056,393.14
0.2508,393.26
0.24987,393.4
0.28764,393.09
0.28955,390.92
0.31053,390.1
0.32409,390.68
0.32166,392.17
0.30815,394.95
0.27769,397.63
0.25025,398.82
0.23947,397.84
0.24706,396
0.26196,393.51
0.28691,393.08
0.2918,392.28
0.30009,391.93
0.30769,393.35
0.29329,394.37
0.28294,396.07
0.26551,396.28
0.26266,396.62
0.25912,395.62
0.26783,395.14
0.27215,394.07
0.28212,393.38
0.291,393.99
0.28539,394.3
0.28237,394.84
0.27681,395.09
0.27414,395.25
0.27228,394.99
0.27388,394.09
0.2827,393.87
0.28608,394.27
0.28195,394.07
0.28391,394.25
0.28234,394.45
0.28003,394.27
0.28214,394.61
0.27891,394.76
0.27735,395.01
0.27461,394.8
0.27652,394.71
0.27763,394.86
0.27648,395.25
0.27233,394.88
0.27568,394.87
0.27562,394.44
0.27964,394.16
0.28314,394.49
0.27975,394.22
0.28257,394.57
0.27922,394.68
0.2786,395.48
0.27053,395.32
0.2714,395.03
0.27366,394.3
0.28145,394.58
0.27919,394.76
0.27733,394.94
0.27565,395.16
0.273,394.74
0.23998,395
0.23844,397.16
0.21828,398.2
0.20813,396.62
0.21783,394.62
0.23221,392.63
0.24917,391.31
0.26516,391.4
0.26561,391.48
0.26502,391.57
0.26774,392.78
0.25502,392.95
0.25438,393.82
0.24532,393.79
0.24607,394.29
0.24043,393.97
0.24111,393.02
0.2514,393.22
0.24994,393.25
0.24851,392.82
0.29262,392.4
0.29596,390.48
0.31604,390
0.32479,390.39
0.32697,392.78
0.30136,395.23
0.2746,397.05
0.25558,398.5
0.2426,397.52
0.24985,395.39
0.26854,394.17
0.28151,393.82
0.28461,392.81
0.29518,392.69
0.29831,393.26
0.29358,394.24
0.28383,395.33
0.27243,395.7
0.26807,395.37
0.27063,394.9
0.23819,394.83
0.23908,396.46
0.22377,396.92
0.21884,396.73
0.21792,394.69
0.23215,392.85
0.24814,391.73
0.25852,390.87
0.26932,390.95
0.27096,391.45
0.26762,392.16
0.26332,393.62
0.2488,394.26
0.24185,394.47
0.23911,394.35
0.23948,394.04
0.24138,393.46
0.24651,393.14
0.24857,392.49
0.25643,392.81
0.29398,392.79
0.29258,390.53
0.31613,390.29
0.32257,390.84
0.32158,393.06
0.29812,395.51
0.27165,397.11
0.25495,398.26
0.24457,397.33
0.25162,395.65
0.26621,394.17
0.28014,392.99
0.29187,392.15
0.30206,392.16
0.30501,393.4
0.29275,394.62
0.28009,395.75
0.26842,396.49
0.26079,396.55
0.25955,395.51
0.23195,394.81
0.23991,396.79
0.2211,397.11
0.21647,396.04
0.22381,394.89
0.23046,392.66
0.25011,391.75
0.25996,391.3
0.26553,391.23
0.26737,391.43
0.27,392.94
0.25511,393.71
0.24775,394.46
0.24024,394.7
0.23711,394.52
0.23779,394.05
0.24133,393.54
0.24502,392.85
0.25027,392.07
0.25887,392.04
0.30232,392.37
0.29772,390.58
0.31408,389.73
0.32888,390.63
0.32288,392.27
0.30742,395.33
0.27384,397.4
0.25257,398.04
0.24623,397.24
0.25245,395.51
0.26767,394.29
0.27901,392.99
0.29259,392.53
0.29925,392.86
0.29703,393.52
0.29093,394.52
0.28075,395.31
0.27263,396.02
0.26519,395.68
0.26787,395.45
0.23352,395.05
0.23637,396.26
0.2255,396.95
0.21786,395.8
0.22453,394
0.23844,392.55
0.25212,391.84
0.25937,391.36
0.26442,391.13
0.26975,391.81
0.2649,392.67
0.25794,393.81
0.24658,394.3
0.24132,394.47
0.23864,394.11
0.24133,393.8
0.2445,393.74
0.2437,393.03
0.24985,392.64
0.25325,392.25
0.25761,392.21
0.26052,392.96
0.25449,393.77
0.24532,393.54
0.24706,393.59
0.24762,394.01
0.24213,393.37
0.2467,392.81
0.25365,393.12
0.25078,393.09
0.25052,392.93
0.25203,392.91
0.25298,393.13
0.25057,393.08
0.25197,393.52
0.24711,393.32
0.24855,393.21
0.2505,393.49
0.24799,393.64
0.24626,393.61
0.28563,393.28
0.28788,391.14
0.30935,390.58
0.31878,390.96
0.31825,392.32
0.306,394.81
0.27902,397.31
0.25336,398.51
0.24217,397.79
0.2477,396.65
0.25691,393.99
0.28096,392.83
0.29441,392.52
0.29851,392.34
0.30299,393.55
0.29102,394.62
0.27983,395.58
0.27002,396.46
0.26113,396.21
0.26282,395.9
0.22938,394.88
0.23859,396.5
0.22345,396.94
0.21814,396.14
0.22237,394.45
0.23411,392.61
0.25009,391.48
0.26367,391.51
0.26507,391.74
0.26393,392.16
0.2614,392.94
0.25532,394.04
0.24449,394.53
0.23883,394.44
0.23845,393.93
0.24267,393.58
0.24601,393.39
0.24707,392.93
0.25118,392.66
0.25512,392.95
0.29085,392.22
0.29753,390.46
0.31612,389.91
0.32691,390.68
0.32361,392.92
0.30021,395.94
0.26749,397.58
0.25056,398.27
0.24436,396.91
0.25521,395.51
0.2673,393.75
0.28352,392.45
0.29845,392.35
0.30123,392.68
0.29941,393.66
0.29009,395.03
0.27605,396.5
0.26122,396.48
0.26036,396.03
0.26435,395.63
0.2675,394.39
0.27927,393.9
0.28355,392.79
0.29658,393.29
0.29309,394.21
0.28369,394.88
0.27643,394.86
0.27635,395.14
0.27381,395.48
0.27057,396.05
0.26473,395.37
0.27051,394.98
0.27443,394.75
0.27669,394.43
0.28045,394.8
0.27662,394.39
0.28107,394.93
0.2759,395.19
0.273,395.16
0.27314,395.08
0.27391,395.06
0.27358,394.38
0.28036,394.39
0.28087,394.63
0.27816,394.24
0.2826,394.81
0.27694,394.72
0.27737,394.64
0.27826,394.72
0.27734,394.48
0.27925,394.08
0.28239,393.22
0.29282,393.94
0.28632,394.64
0.27885,394.76
0.27751,395.19
0.27305,395.07
0.27386,394.95
0.27523,395.08
0.27358,394.46
0.27985,394.68
0.27801,394.7
0.27764,394.67
0.27799,394.79
0.27715,395.16
0.27316,394.68
0.2777,394.84
0.27613,394.49
0.27983,394.83
0.2767,394.98
0.27505,395.05
0.2739,394.59
0.27809,394.29
