T1,T2
301.59,301.57
302.17,302.13
302.73,302.67
303.28,303.2
303.81,303.72
304.33,304.22
304.84,304.71
305.34,305.2
305.82,305.66
306.29,306.12
306.74,306.57
307.19,307.01
307.62,307.43
308.05,307.85
308.46,308.25
308.86,308.65
309.25,309.03
309.63,309.41
310,309.77
310.36,310.13
310.72,310.48
311.06,310.82
311.39,311.15
311.72,311.47
312.04,311.79
312.34,312.09
312.65,312.39
312.94,312.68
313.22,312.97
313.5,313.24
313.77,313.51
314.04,313.78
314.29,314.03
314.54,314.28
314.79,314.52
315.02,314.76
315.26,314.99
315.48,315.21
315.7,315.43
315.91,315.65
316.12,315.85
316.32,316.06
316.52,316.25
316.71,316.44
316.9,316.63
317.08,316.81
317.26,316.99
317.43,317.16
317.6,317.33
317.76,317.49
317.92,317.65
318.08,317.81
318.23,317.96
318.37,318.11
318.52,318.25
318.66,318.39
318.79,318.52
318.92,318.66
319.05,318.78
319.18,318.91
319.3,319.03
319.42,319.15
319.53,319.27
319.64,319.38
319.75,319.49
319.86,319.59
319.96,319.7
320.06,319.8
320.16,319.9
320.26,319.99
320.35,320.09
320.44,320.18
320.53,320.27
320.62,320.35
320.7,320.44
320.78,320.52
320.86,320.6
320.94,320.67
321.01,320.75
321.08,320.82
321.16,320.89
321.22,320.96
321.29,321.03
321.36,321.09
321.42,321.16
321.48,321.22
321.54,321.28
321.6,321.34
321.66,321.4
321.71,321.45
321.77,321.51
321.82,321.56
321.87,321.61
321.92,321.66
321.97,321.71
322.02,321.76
322.06,321.8
322.11,321.85
322.15,321.89
322.19,321.93
322.24,321.98
322.28,322.02
322.31,322.06
322.35,322.09
322.39,322.13
322.43,322.17
322.46,322.2
322.49,322.24
322.53,322.27
322.56,322.3
322.59,322.33
322.62,322.36
322.65,322.39
322.68,322.42
322.71,322.45
322.74,322.48
322.76,322.5
322.79,322.53
322.81,322.56
322.84,322.58
322.86,322.6
322.89,322.63
322.91,322.65
322.93,322.67
322.95,322.69
322.97,322.71
322.99,322.74
323.01,322.75
323.03,322.77
323.05,322.79
323.07,322.81
323.09,322.83
323.1,322.85
323.12,322.86
323.14,322.88
323.15,322.9
323.17,322.91
323.18,322.93
323.2,322.94
323.21,322.95
323.23,322.97
323.24,322.98
323.25,323
323.27,323.01
323.28,323.02
323.29,323.03
323.3,323.04
323.31,323.06
323.32,323.07
323.34,323.08
323.35,323.09
323.36,323.1
323.37,323.11
323.38,323.12
323.39,323.13
323.39,323.14
323.4,323.15
323.41,323.15
323.42,323.16
323.43,323.17
323.44,323.18
323.44,323.19
323.45,323.19
323.46,323.2
323.47,323.21
323.47,323.22
323.48,323.22
323.49,323.23
323.49,323.24
323.5,323.24
323.51,323.25
323.51,323.25
323.52,323.26
323.52,323.27
323.53,323.27
323.53,323.28
323.54,323.28
323.54,323.29
323.55,323.29
323.55,323.3
323.56,323.3
323.56,323.31
323.57,323.31
323.57,323.31
323.58,323.32
323.58,323.32
323.58,323.33
323.59,323.33
323.59,323.33
323.59,323.34
323.6,323.34
323.6,323.34
323.6,323.35
323.61,323.35
323.61,323.35
323.61,323.36
323.62,323.36
323.62,323.36
323.62,323.37
323.63,323.37
323.63,323.37
323.63,323.37
323.63,323.38
323.64,323.38
323.64,323.38
323.64,323.38
323.64,323.39
323.65,323.39
323.65,323.39
323.65,323.39
323.65,323.4
323.65,323.4
323.66,323.4
323.66,323.4
323.66,323.4
323.66,323.4
323.66,323.41
323.66,323.41
323.67,323.41
323.67,323.41
323.67,323.41
323.67,323.41
323.67,323.42
323.67,323.42
323.68,323.42
323.68,323.42
323.68,323.42
323.68,323.42
323.68,323.42
323.68,323.42
323.68,323.43
323.68,323.43
323.68,323.43
323.69,323.43
323.69,323.43
323.69,323.43
323.69,323.43
323.69,323.43
323.69,323.43
323.69,323.44
323.69,323.44
323.69,323.44
323.69,323.44
323.7,323.44
323.7,323.44
323.7,323.44
323.7,323.44
323.7,323.44
323.7,323.44
323.9,323.66
324.09,323.86
324.28,324.06
324.46,324.26
324.64,324.45
324.82,324.63
324.99,324.81
325.15,324.99
325.31,325.16
325.47,325.32
325.62,325.48
325.77,325.63
325.92,325.78
326.06,325.93
326.2,326.07
326.33,326.21
326.46,326.34
326.59,326.48
326.71,326.6
326.84,326.73
326.95,326.84
327.07,326.96
327.18,327.07
327.29,327.18
327.39,327.29
327.49,327.39
327.59,327.5
327.69,327.59
327.78,327.69
327.88,327.78
327.96,327.87
328.05,327.96
328.14,328.04
328.22,328.13
328.3,328.21
328.37,328.29
328.45,328.36
328.52,328.44
328.6,328.51
328.66,328.58
328.73,328.65
328.8,328.71
328.86,328.78
328.92,328.84
328.98,328.9
329.04,328.96
329.1,329.02
329.16,329.07
329.21,329.13
329.26,329.18
329.31,329.23
329.36,329.28
329.41,329.33
329.46,329.37
329.5,329.42
329.55,329.46
329.59,329.51
329.63,329.55
329.67,329.59
329.71,329.63
329.75,329.67
329.79,329.71
329.83,329.74
329.86,329.78
329.9,329.81
329.93,329.85
329.96,329.88
329.99,329.91
330.02,329.94
330.05,329.97
330.08,330
330.11,330.03
330.14,330.06
330.17,330.08
330.19,330.11
330.22,330.13
330.24,330.16
330.27,330.18
330.29,330.21
330.31,330.23
330.33,330.25
330.35,330.27
330.37,330.29
330.39,330.31
330.41,330.33
330.43,330.35
330.45,330.37
330.47,330.39
330.49,330.41
330.5,330.42
330.52,330.44
330.54,330.46
330.55,330.47
330.57,330.49
330.58,330.5
330.6,330.52
330.61,330.53
330.62,330.54
330.64,330.56
330.65,330.57
330.66,330.58
330.67,330.59
330.69,330.61
330.7,330.62
330.71,330.63
330.72,330.64
330.73,330.65
330.74,330.66
330.75,330.67
330.76,330.68
330.77,330.69
330.78,330.7
330.79,330.71
330.8,330.71
330.8,330.72
330.81,330.73
330.82,330.74
330.83,330.75
330.84,330.75
330.84,330.76
330.85,330.77
330.86,330.78
330.86,330.78
330.87,330.79
330.88,330.79
330.88,330.8
330.89,330.81
330.89,330.81
330.9,330.82
330.91,330.82
330.91,330.83
330.92,330.83
330.92,330.84
330.93,330.84
330.93,330.85
330.94,330.85
330.94,330.86
330.94,330.86
330.95,330.87
330.95,330.87
330.96,330.87
330.96,330.88
330.96,330.88
330.97,330.89
330.97,330.89
330.97,330.89
330.98,330.9
330.98,330.9
330.98,330.9
330.99,330.91
330.99,330.91
330.99,330.91
331,330.92
331,330.92
331,330.92
331,330.92
331.01,330.93
331.01,330.93
331.01,330.93
331.01,330.93
331.02,330.94
331.02,330.94
331.02,330.94
331.02,330.94
331.03,330.94
331.03,330.95
331.03,330.95
331.03,330.95
331.03,330.95
331.03,330.95
331.04,330.95
331.04,330.96
331.04,330.96
331.04,330.96
331.04,330.96
331.04,330.96
331.05,330.96
331.05,330.97
331.05,330.97
331.05,330.97
331.05,330.97
331.05,330.97
331.05,330.97
331.05,330.97
331.06,330.97
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.06,330.98
331.07,330.98
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.07,330.99
331.08,330.99
331.08,330.99
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.08,331
331.09,331
331.09,331
331.09,331
331.09,331
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01
331.09,331.01