T1(k+1),T2(k+1)
28.744,29.07
28.541,28.847
28.308,29.072
30.731,31.584
33.604,33.173
35.005,33.682
34.332,33.039
33.062,33.449
33.055,33.556
33.918,34.116
34.752,34.242
34.941,34.333
35.257,34.677
35.436,36.008
35.417,36.32
35.61,36.052
36.149,36.657
36.549,36.714
37.257,37.42
37.668,37.348
37.555,37.145
37.515,36.99
37.912,37.342
38.329,38.149
38.466,38.672
39.014,38.256
39.42,39.29
39.464,39.486
39.918,39.312
40.314,40.445
40.408,40.57
40.56,40.261
40.981,39.887
41.273,40.109
41.275,40.573
41.084,40.852
41.258,41.503
41.922,42.649
42.446,42.591
42.458,41.747
42.086,41.332
42.094,42.574
42.043,42.975
42.684,42.86
42.957,42.849
43.135,43.621
43.137,43.645
43.355,43.492
43.554,43.338
43.592,43.296
43.85,43.716
44.081,44.148
44.483,45.335
44.727,45.455
44.658,44.752
44.4,43.998
44.2,43.762
44.198,44.056
45.058,44.861
45.535,45.797
45.762,46.832
45.3,46.449
45.028,45.363
45.067,45.667
45.677,45.646
45.864,45.787
45.986,46.99
46.003,46.963
45.905,46.466
46.147,47.079
46.468,46.943
46.232,46.396
46.486,45.962
46.533,46.294
46.425,46.898
46.3,47.237
46.253,47.141
46.637,46.824
47.029,48.022
46.82,47.949
46.68,47.4
46.675,46.935
47.122,47.232
47.922,47.847
48.027,48.233
47.93,48.161
47.4,47.819
46.96,47.889
46.916,47.834
47.881,47.395
48.457,47.757
48.359,48.035
47.875,48.385
47.134,48.511
47.471,48.385
47.935,48.208
48.143,49.197
48.053,49.534
48.171,50.233
47.998,49.247
47.705,47.831
47.885,47.523
47.927,48.568
48.236,49.407
48.499,49.492
48.521,50.061
48.019,49.466
48.211,49.57
48.397,49.382
48.431,48.78
48.676,48.34
48.531,48.34
48.238,48.631
47.714,48.897
47.779,49.298
48.203,49.51
48.2,49.09
48.247,49.604
47.963,50.019
48.022,50.762
48.279,50.122
48.444,49.019
48.405,48.414
48.264,48.594
48.178,49.173
48.209,49.951
48.658,49.586
48.322,49.071
48.405,50.238
48.403,50.279
48.316,49.518
48.566,48.773
48.506,49.663
48.68,51.359
48.911,50.936
48.6,49.379
48.466,48.542
48.925,49.889
49.153,51.036
49.056,50.836
49.132,50.92
48.919,50.075
48.638,49.213
48.157,48.618
48.613,49.709
49.062,50.459
48.815,50.418
48.61,49.85
48.924,49.345
49.358,49.274
49.918,49.559
49.805,50.234
48.976,50.653
48.625,51.276
48.513,50.876
48.618,49.725
48.413,48.919
48.507,48.938
48.756,49.517
49.299,50.411
49.654,50.513
49.597,49.994
49.287,50.842
48.714,50.567
48.356,49.719
48.749,50.179
49.397,50.151
49.727,50.173
49.598,50.915
48.918,50.874
48.344,50.31
47.898,49.806
48.225,50.43
48.867,50.321
49.585,50.16
49.466,50.084
48.866,50.809
48.405,50.819
48.717,50.338
49.313,50.255
49.319,51.576
48.955,51.089
48.913,49.717
48.385,49.117
48.288,50.186
48.604,50.905
49.317,50.512
49.389,50.016
49.323,50.866
48.894,52
48.902,51.413
49.159,51.162
49.753,50.273
49.407,49.614
49.031,49.575
48.574,49.986
48.768,50.397
48.912,50.52
49.266,51.065
49.512,50.793
49.126,50.513
48.95,51.129
48.719,51.903
48.627,51.145
48.655,49.905
49.078,48.908
49.105,49.179
48.873,50.106
49.014,50.789
49.306,51.872
49.499,51.367
49.438,50.149
49.578,49.698
49.414,49.753
49.53,50.108
49.766,51.831
49.595,51.794
49.228,50.569
48.607,49.433
48.268,49.19
48.749,49.747
49.461,51.526
49.486,51.763
49.341,50.754
49.507,50.703
49.43,50.642
49.242,50.258
49.107,49.934
49.464,50.25
49.914,51.847
50.132,52.076
49.998,51.194
49.688,50.197
49.123,49.498
49.517,49.871
49.948,50.726
49.749,51.63
49.273,51.525
49.288,50.801
49.967,51.272
50.272,51.518
50.09,51.065
50.047,51.522
49.8,51.199
49.929,50.934
49.865,50.558
49.711,50.38
49.613,50.466
50.186,51.17
50.314,51.333
50.191,51.889
49.787,51.352
49.461,51.167
49.436,50.652
49.624,50.301
50.174,50.332
50.577,51.322
50.254,51.873
50.02,51.342
50.345,50.47
50.802,51.447
50.704,51.901
50.328,51.984
50.459,52.563
50.853,52.356
50.757,51.417
50.02,51.013
50.469,51.97
51.077,52.116
51.68,51.963
51.826,52.785
51.579,52.587
51.577,52.894
51.402,52.613
51.215,51.444
51.49,51.134
51.897,52.01
52.128,53.051
52.432,53.077
52.534,52.393
52.756,52.084
52.906,52.973
52.572,52.954
52.489,52.67
53.341,52.783
54.565,53.47
54.804,54.032
54.189,53.822
54.134,52.864
54.126,53.184
54.187,53.076
54.24,53.113
54.606,53.224
54.918,53.668
55.332,55.076
55.536,54.683
56.112,54.772
55.813,54.066
55.082,53.313
54.88,54.85
55.611,56.472
56.091,56.266
56.709,56.029
56.604,55.951
56.085,54.954
55.639,54.411
55.583,54.581
56.208,55.125
57.204,56.254
57.026,56.599
56.16,56.847
55.467,56.001
55.024,56.455
54.756,56.043
55.136,55.354
55.311,55.358
55.233,55.472
54.693,56.63
54.624,56.565
54.541,55.724
54.484,54.978
54.485,54.85
54.938,56.646
54.779,57.119
54.648,57.387
53.916,55.893
53.26,54.287
54.198,54.868
55.23,55.491
55.215,57.103
54.885,57.101
54.191,57.052
53.758,55.576
53.423,54.58
54.12,54.657
55.388,55.798
56.143,57.902
56.378,58.029
56.033,56.699
55.86,56.412
55.954,55.989
56.51,56.153
56.634,57.671
56.413,57.91
56.445,57.447
56.607,57.919
56.73,57.616
57.347,57.018
57.833,57.034
57.533,58.161
56.955,58.475
56.243,58.344
55.958,58.71
56.187,58.09
56.567,57.275
56.758,57.292
56.7,57.504
56.881,59.104
57.166,59.057
56.99,59.336
56.638,58.554
55.684,57.617
55.73,58.319
56.114,58.578
56.078,58.352
56.483,59.375
56.923,59.085
57.028,59.537
56.845,58.731
56.208,57.656
56.08,58.599
56.448,58.815
56.514,59.805
57.058,59.521
58.198,58.956
58.885,58.287
58.747,58.032
57.805,58.576
57.398,60.299
57.695,60.142
58.558,59.91
58.452,59.104
58.068,59.539
57.739,59.428
58.384,58.678
59.197,59.499
59.21,59.722
59.009,59.706
58.097,59.527
57.372,59.345
57.309,58.945
58.096,60.133
58.216,60.834
57.427,59.951
56.916,60.038
56.995,59.308
57.395,60
57.048,60.087
56.437,60.739
56.114,59.863
55.472,58.954
55.44,59.397
55.527,59.383
55.619,59.072
55.282,58.788
54.904,59.782
54.456,59.506
54.261,58.809
54.371,59.058
54.631,59.067
54.44,58.908
54.075,58.03
53.482,57.305
53.173,57.214
53.307,58.692
54.046,59.095
54.269,58.483
53.946,58.33
53.142,57.165
52.928,56.87
52.94,56.692
53.098,56.377
53.233,56.207
52.9,56.26
52.498,55.701
52.328,55.137
51.729,54.989
51.649,55.931
52.011,55.515
52.015,54.491
52.499,54.856
52.346,54.597
51.5,54.437
51.163,54.09
51.067,55.301
51.607,55.976
52.169,55.096
52.64,54.522
52.347,53.87
51.743,53.626
52.097,54.899
52.531,55.225
52.643,54.663
52.705,53.555
52.668,53.605
52.625,55.114
52.655,56.499
52.362,55.706
52.715,54.722
53.238,55.065
53.523,55.003
53.781,55.77
53.142,55.465
52.341,56.046
52.04,55.394
51.918,54.638
52.361,55.798
52.559,56
52.772,55.041
53.157,54.36
53.023,54.378
52.651,54.843
52.406,54.907
52.068,55.358
52.282,55.029
53.046,54.43
52.906,54.795
52.274,54.922
51.773,55.84
51.755,55.555
52.052,55.738
52.353,55.051
52.765,55.347
52.97,55.036
52.512,54.888
51.587,54.583
50.673,55.443
50.83,55.395
51.962,54.465
52.617,54.6
52.844,55.708
52.286,55.934
52.297,56.436
51.986,55.7
51.649,54.657
52.238,53.826
53.377,53.788
53.712,54.335
53.27,55.209
52.283,55.277
51.961,55.788
52.268,54.826
52.733,53.592
53.66,54.517
54.271,54.827
54.554,54.484
54.034,55.356
53.384,54.968
53.055,53.719
52.733,52.666
52.658,53.591
52.86,54.123
53.133,54.339
52.959,53.933
52.945,53.392
53.044,53.166
53.152,52.97
52.832,53.294
51.761,53.004
50.954,52.485
50.917,52.555
51.453,53.705
51.658,53.69
51.455,52.884
51.094,51.787
50.527,51.186
50.249,51.361
50.749,51.947
51.428,53.111
51.39,53.456
50.87,52.257
50.361,51.232
50.234,50.73
50.826,50.971
51.136,51.205
51.022,50.899
50.69,50.795
50.461,51.606
50.141,51.024
49.959,50.271
49.997,49.964
50.164,49.486
50.643,49.252
50.63,49.366
50.3,49.62
49.647,49.414
49.245,49.035
49.66,48.827
50.301,50.329
50.595,50.48
50.399,49.233
49.619,48.646
48.676,48.571
47.62,48.179
47.26,47.854
47.641,47.48
47.889,47.367
47.867,47.515
48.041,48.081
48.234,48.874
48.339,48.53
47.639,47.651
46.889,47.035
46.663,46.696
46.97,47.876
47.811,48.174
48.019,47.663
47.261,46.958
46.395,46.259
45.738,46.074
45.721,46.027
46.158,46.127
46.586,46.266
46.338,46.328
45.808,45.918
45.818,45.481
46.187,45.01
46.171,45.228
45.919,45.391
45.693,45.388
45.649,45.629
46.479,45.867
46.938,45.597
46.788,45.17
46.328,45.29
46.365,45.688
46.726,46.705
47.059,46.337
46.735,45.291
46.178,44.183
46.221,43.848
46.661,44.662
47.078,45.317
47.169,45.379
47.312,44.982
47.37,44.567
47.331,45.136
46.922,45.708
46.565,45.492
46.845,45.608
47.007,45.527
46.961,45.014
47.506,45.648
47.726,45.904
47.552,45.349
47.572,45.704
47.023,45.711
46.843,47.233
47.09,46.899
47.753,45.558
47.825,45.241
47.815,45.493
47.42,46.652
47.081,47.207
47.376,46.939
48.222,47.037
48.47,46.973
48.476,46.833
47.955,46.736
47.459,46.723
48.057,46.802
49.322,47.517
49.414,47.8
48.629,47.901
47.822,47.775
47.591,47.585
47.925,47.86
48.409,47.913
48.987,47.782
49.195,47.627
48.994,47.561
48.664,47.593
48.105,47.658
48.086,47.34
48.438,47.011
48.782,46.93
48.87,47.079
48.725,47.269
48.175,47.336
47.752,46.902
47.715,46.449
47.611,46.326
47.546,46.519
47.924,48.206
48.046,48.262
47.225,46.788
46.322,45.688
46.034,45.298
46.4,46.764
46.994,48.432
47.316,47.591
46.796,47.066
46.44,45.706
46.434,45.495
46.697,45.527
47.309,45.713
47.715,46.941
47.352,46.548
46.339,46.375
46.342,45.401
46.303,44.269
46.253,43.865
46.603,44.262
46.99,45.28
47.135,45.617
46.992,45.23
46.739,44.627
46.588,43.964
46.261,44.461
46.085,44.668
46.49,44.175
46.975,44.294
47.17,44.393
47.379,45.11
47.105,45.363
46.693,44.741
46.826,45.043
46.544,44.7
46.883,45.226
47.061,44.909
46.586,44.24
46.641,43.815
47.375,43.535
47.322,43.577
46.777,43.788
46.663,45.009
46.602,44.962
46.237,44.08
45.911,43.979
45.515,43.776
45.361,43.651
45.489,44.032
45.762,44.135
45.644,43.969
45.694,43.733
45.464,43.982
44.871,44.012
44.462,43.504
44.468,43.362
44.76,43.232
45.032,43.216
45.092,43.999
44.986,44.39
45.549,44.931
45.419,44.458
45.518,44.45
45.355,43.707
45.466,43.36
45.336,43.548
45.151,43.955
45.073,44.209
44.769,44.17
44.883,43.954
45.194,43.789
45.054,43.785
45.073,45.303
45.616,45.685
45.101,45.364
44.581,45.482
44.097,45.099
43.984,45.011
44.568,44.848
44.841,45.126
44.713,46.203
44.428,45.953
44.216,46.039
43.863,45.58
43.659,45.084
44.411,45.312
44.929,45.781
44.91,46.063
45.243,45.644
45.198,45.418
45.285,45.484
45.76,45.708
45.801,46.592
45.534,46.552
45.231,45.9
45.464,45.313
45.889,45.22
46.503,45.88
46.81,47.039
46.341,46.961
45.659,46.071
45.314,46.342
45.838,46.153
46.555,45.814
46.869,45.986
46.686,46.016
46.65,45.915
46.737,45.803
46.845,46.125
46.51,46.5
46.761,46.629
47.222,46.511
47.836,47.385
47.772,47.584
47.276,47.156
47.326,46.959
47.715,47.177
48.06,47.883
47.78,48.041
47.269,48.045
47.329,47.934
47.727,47.507
48.056,47.79
47.76,48.699
47.634,50.057
48.089,50.012
48.575,50.476
48.377,49.527
47.821,49.359
47.448,49.129
47.829,49.034
48.091,49.12
48.793,49.624
49.328,50.394
49.431,50.524
49.148,50.108
49.152,50.684
49.733,51.519
49.932,51.219
50.051,51.777
50.049,51.441
50.65,50.746
51.204,50.34
51.321,50.788
51.434,52.187
51.487,52.509
52.151,53.166
52.751,52.521
52.824,51.82
53.544,51.949
54.551,53.636
55.407,54.087
55.499,53.712
55.332,53.388
54.758,53.328
54.693,53.482
56.094,53.69
56.748,53.822
57.116,53.791
57.011,53.665
57.373,54.977
57.47,54.891
57.638,55.683
57.402,55.777
57.398,54.252
57.153,53.821
57.303,53.743
57.624,55.038
57.862,55.252
57.812,55.628
58.244,55.837
58.325,55.08
59.138,53.87
59.476,53.98
59.278,56.314
59.284,56.647
59.733,56.794
59.435,55.652
58.808,54.455
58.412,53.741
58.123,54.244
58.163,56.25
58.441,56.496
58.99,56.787
58.607,55.835
57.834,54.712
57.358,54.292
58.167,56.093
58.609,57.398
58.472,58.451
58.038,57.115
57.652,55.132
57.203,54.531
56.722,55.311
57.329,57.522
57.927,59.451
57.72,58.338
57.036,57.372
56.528,56.143
56.148,55.648
56.513,57.442
57.182,58.426
57.195,58.489
57.081,57.862
56.944,57.581
57.259,58.809
57.338,59.101
57.531,59.245
57.301,58.827
57.293,59.39
57.113,58.789
57.27,58.193
56.827,58.048
56.32,59.361
56.542,59.629
57.786,60.432
58.109,59.967
57.528,58.96
56.741,58.302
56.403,58.361
56.642,59.231
57.837,61.094
58.124,61.213
57.534,60.74
56.764,59.479
56.415,59.319
56.285,59.68
56.774,60.846
56.993,60.647
57.217,60.022
57.338,60.276
56.966,59.871
56.872,60.368
57.417,60.413
57.631,61.551
57.493,61.162
57.178,61.075
57.334,60.192
57.669,59.791
57.892,61.085
57.922,61.153
57.728,60.345
58.14,60.496
59.038,60.5
59.596,60.419
59.864,61.398
59.058,61.296
58.442,60.147
58.024,59.494
58.058,59.313
58.74,59.249
59.006,59.686
59.163,60.13
58.782,60.58
58.674,61.151
58.839,61.387
58.701,60.164
58.413,59.2
57.882,58.766
57.949,60.071
58.072,60.897
58.133,60.432
58.426,60.144
58.661,59.842
58.679,59.401
58.887,60.252
59.462,60.651
59.497,60.456
59.479,61.052
58.749,60.319
58.397,60.977
57.891,60.679
57.981,59.595
58.034,60.567
58.084,62.216
58.123,62.747
58.094,60.705
58.351,60.206
58.01,60.063
57.882,60.961
58.024,61.197
58.589,62.237
58.692,61.646
57.999,60.013
57.955,60.636
58.446,60.932
59.288,61.87
59.765,61.852
59.614,61.189
59.089,60.93
58.992,60.666
59.26,61.671
59.615,61.741
60.1,62.193
59.966,61.155
59.823,61.275
59.453,60.673
59.537,61.084
59.54,60.827
59.82,60.307
59.361,59.997
59.103,60.02
59.531,60.018
60.108,60.021
60.357,59.679
60.191,60.764
59.908,60.939
59.732,60.36
59.737,60.055
59.51,59.811
59.653,60.847
59.624,60.932
59.48,61.718
59.417,60.98
59.128,59.748
59.237,60.153
59.226,60.671
59.146,60.524
59.416,60.388
60.081,61.438
60.202,61.464
60.546,61.118
60.778,61.847
60.435,61.344
60.275,60.714
59.962,61.193
60.091,61.251
60.774,62.06
60.992,61.377
60.337,61.234
59.938,60.476
59.632,59.51
59.604,59.122
59.805,60.841
59.72,61.304
59.472,60.207
59.254,60.628
58.907,60.329
59.062,60.581
59.456,59.973
59.697,60.302
59.324,59.956
59.502,60.456
59.593,60.466
59.541,59.779
59.767,60.189
60.042,59.987
59.775,59.872
59.698,60.952
59.132,60.624
58.613,59.566
58.487,59.149
59.094,60.556
59.095,61.115
59.023,61.729
58.955,60.86
58.542,59.978
58.195,59.73
58.164,60.099
58.392,60.622
59.342,60.522
60.061,61.534
59.772,61.37
58.625,60.848
58.086,60.443
58.497,60.72
59.274,62.493
59.771,62.563
59.308,61.415
58.497,60.968
58.422,61.32
58.923,60.912
60.135,61.378
60.953,61.055
60.874,60.78
60.246,61.78
59.747,61.467
60.024,60.853
60.97,61.58
61.71,62.703
62.133,63.261
62.365,61.952
62.595,61.762
61.968,61.05
61.559,60.488
61.64,60.433
62.437,62.307
63.188,62.709
63.668,61.816
64.28,62.122
64.202,61.602
64.045,61.952
63.977,62.275
63.666,62.341
64.123,62.179
65.115,63.428
65.777,63.667
65.692,63.053
65.848,62.187
66.397,62.512
66.844,64.837
67.31,65.379
67.757,65.729
68.207,64.631
68.63,63.369
68.71,63.288
68.888,65.125
68.707,65.839
68.745,64.895
69.571,65.647
70.007,65.711
70.547,65.964
71.119,66.521
70.942,66.163
71.075,66.493
71.336,65.993
71.467,66.369
71.792,66.351
71.995,66.087
72.316,67.269
72.521,67.142
72.429,66.923
72.485,68.219
73.002,68.525
73.775,67.952
74.479,68.995
73.953,69.291
73.68,69.887
74.146,69.545
74.385,69.907
73.958,69.406
74.082,69.736
74.517,71.467
74.525,71.117
74.185,70.555
73.495,69.543
73.42,70.383
73.162,70.096
72.937,69.606
72.544,70.403
72.365,70.055
72.791,70.97
73.699,70.315
73.501,69.45
73.049,70.115
72.802,69.541
72.491,70.327
72.761,70.034
73.904,70.67
74.815,70.434
74.514,70.484
72.913,69.581
71.947,69.721
71.801,69.413
71.949,69.054
72.182,68.937
71.594,68.36
71.937,68.943
72.336,69.199
72.118,70.106
72.018,69.346
71.667,68.376
71.038,67.616
71.047,68.618
71.535,69.028
71.26,68.389
70.997,68.553
71.312,68.08
71.408,67.543
71.28,67.355
72.171,68.961
73.149,69.565
73.434,69.048
73.003,68.133
72.743,67.253
72.434,67.405
72.351,68.141
72.15,68.377
72.364,69.513
72.382,70.781
71.553,69.766
71.437,67.565
71.562,67.383
71.813,68.714
71.656,69.021
71.319,69.809
71.123,68.559
71.458,67.572
71.908,68.577
72.161,69.129
72.083,68.604
71.805,68.082
71.594,67.589
71.905,68.917
73.035,69.703
73.868,69.214
74.202,69.992
73.634,69.971
73.209,69.395
73.535,69.939
73.803,69.444
73.8,68.966
73.967,68.495
73.414,68.732
73.874,70.32
74.019,70.589
74.163,70.933
73.136,70
72.395,69.92
72.423,70.482
72.968,70.025
73.07,68.878
73.124,68.459
73.129,70.261
73.172,71.872
73.571,72.516
73.534,71.327
72.811,70.493
72.522,69.675
72.381,69.486
73.177,71.29
73.725,71.718
73.664,71.598
72.155,70.459
70.748,69.069
70.798,69.958
71.865,70.716
72.473,70.501
73.004,71.198
72.792,70.933
72.28,70.184
71.578,71.065
71.314,70.616
71.508,71.03
72.596,69.97
73.434,69.443
73.141,70.722
72.355,70.467
71.773,69.341
71.729,68.467
71.727,68.072
72.088,68.295
72.371,68.79
72.401,68.745
72.576,68.364
73.06,67.691
73.741,69.107
74.113,69.48
73.977,69.922
73.959,70.424
73.327,69.527
73.41,67.979
74.24,67.165
74.265,67.475
73.762,68.646
72.958,70.216
72.566,69.814
72.33,68.383
72.338,67.676
72.871,67.287
74.08,67.782
74.522,68.533
74.133,69.94
72.786,69.294
72.083,67.703
72.7,68.783
73.544,69.251
73.195,70.023
72.664,69.328
72.001,67.79
71.354,67.167
71.932,68.339
72.969,70.254
73.224,70.203
73.062,70.253
72.381,68.546
72.154,68.671
73.159,69.985
74.296,70.351
74.652,69.813
74.538,68.687
74.524,68.695
74.62,69.468
74.392,70.187
74.828,70.683
75.386,70.684
75.598,70.354
75.05,69.679
74.742,70.663
74.487,70.622
74.713,70.989
74.749,69.956
74.942,69.802
75.12,70.009
75.524,71.02
75.811,71.832
75.802,70.841
75.899,70.776
75.308,69.613
75.01,69.964
74.82,70.024
74.872,70.911
74.44,70.28
74.666,70.141
75.177,69.397
75.127,69.16
75.098,68.718
75.457,70.24
75.521,70.911
75.67,70.146
75.724,70.043
75.333,69.396
75.265,68.494
75.425,69.511
75.249,69.667
74.953,69.111
75.131,69.901
74.828,69.609
74.747,69.141
75.577,68.915
76.062,70.467
76.008,70.292
75.581,69.412
74.841,69.4
74.459,68.554
74.967,68.478
75.082,69.112
74.869,69.39
74.945,70.629
75.19,70.19
75.677,70.723
75.994,70.464
76.289,69.861
75.986,70.533
75.187,70.483
74.626,69.96
74.627,69.866
75.012,69.816
75.375,69.736
75.808,70.053
76.693,71.476
76.554,71.542
76.144,70.962
76.541,70.371
77.54,70.597
77.876,72.293
77.565,72.286
77.003,72.171
76.327,70.992
76.037,69.962
76.581,71.229
77.707,71.727
78.725,71.716
79.259,72.789
79.102,72.369
78.549,71.226
77.762,71.486
77.438,71.076
78.001,70.887
78.748,70.666
78.706,70.595
78.882,72.074
79.123,72.095
79.192,72.533
79.458,71.509
79.258,70.969
78.905,71.85
79.107,71.618
79.5,70.824
79.707,70.248
78.927,69.882
78.78,71.316
79.226,71.862
79.011,71.416
79.545,71.679
79.496,71.185
79.778,71.595
79.744,71.259
80.21,71.725
80.334,70.988
79.742,70.323
79.105,70.175
79.634,70.488
81.279,70.929
81.397,71.165
80.369,71.366
79.96,70.764
79.892,70.436
80.47,71.969
81.113,72.23
81.644,72.507
81.35,71.522
80.321,70.737
78.856,70.988
78.22,72.087
77.936,72.254
78.434,72.742
79.128,72.784
79.152,73.09
78.36,72.615
77.931,71.227
78.392,72.391
79.543,73.39
80.308,73.918
79.877,73.367
79.284,73.52
78.682,72.252
79.187,72.74
79.759,73.027
79.96,74.72
80.157,74.439
79.795,74.091
79.316,72.52
79.424,72.349
79.53,72.206
79.915,73.609